time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-3.467550880785349e-08,5.777511334079549e-09,10.004702774401087,6.282797210625075,6.282778695631922,0.0,1.5102338830674522e-05,-1.5780616556777145e-05,0.15674980712902625,-0.02434359739131766,-0.02593687955367322,0.0,455.6036135792943,453.52560069099815,455.5076547848013,453.5571621190359
0.12000000000000001,1.7388246595546436e-05,-1.6686917418461253e-05,10.020206885802352,6.28107968686567,6.280846268028416,0.0,0.0007649185566640322,-0.0007249292385187451,0.360010914837083,-0.03897020245904952,-0.04928863380152255,0.0,468.7284236644975,466.9100155917305,469.87568067012984,468.7403693219831
0.18,0.00011039314996443311,-0.00010129963426552382,10.040451877274467,6.279055278961721,6.2777892949623695,0.0,0.00257720835949409,-0.0022698186809433224,0.3148349206012047,-0.024925780956264933,-0.05449607690536331,0.0,388.71006594763287,388.21976153529687,387.3878235875814,388.70529611284564
0.23999999999999996,0.00039928800595026386,-0.00033612809584928927,10.064044507234197,6.2773148167573485,6.274197478408581,0.0,0.0074277124954506045,-0.005734430377866334,0.47153056564438856,-0.03876632253290134,-0.07365030988633745,0.0,455.01198582632486,453.47363395306655,455.6452296360013,454.5373169182786
0.3,0.001106161094882183,-0.000847752777753158,10.10134313131298,6.275314816912765,6.269292145995905,0.0,0.01673432468858319,-0.011601116772018683,0.7715948764436855,-0.02423014375568045,-0.10749888781498892,0.0,497.3506494523968,494.860502655807,496.62453484005056,497.68908773738804
0.36000000000000004,0.002436412152476405,-0.001719527955721302,10.151596369800197,6.274088157305384,6.262790433512933,0.0,0.028296943292993995,-0.017599247219968472,0.9034052671099242,-0.013782879941714751,-0.11014464085441766,0.0,447.8023365443525,447.57684004115487,446.96810405164206,447.818612435552
0.4200000000000001,0.004680012736954186,-0.0030081513006338045,10.213379419260441,6.273781769769974,6.25594278958393,0.0,0.04732112722217833,-0.025418238707965425,1.155789055977636,0.008214574860448786,-0.1235914326153759,0.0,483.9421974967695,482.918526868636,483.2443005692001,484.8994856838686
0.48000000000000015,0.008080967625731237,-0.004715418792029375,10.284691490673097,6.274769848128715,6.248150045396784,0.0,0.06677429213409103,-0.03141456689113239,1.2211902185359231,0.02927717873556533,-0.14700622071919983,0.0,427.94682002949963,425.9325924150881,426.6455135645136,428.4398068306646
0.5400000000000001,0.01291073686412859,-0.006780926677610205,10.362746967881096,6.277188678757767,6.239277892713581,0.0,0.09519112216175608,-0.037196040871954876,1.3804432848111179,0.056298241553596876,-0.14965133812398493,0.0,456.72403018364236,456.4931545152405,456.25172604729045,458.4044833558588
0.6000000000000002,0.019656984116412934,-0.00913429899772624,10.450609771713069,6.2808508209045275,6.230358905216837,0.0,0.13067601869817308,-0.04085265652884652,1.5480573522281633,0.06913386733157906,-0.14672067816262985,0.0,460.4185049480985,460.6303844495151,458.92455901779755,459.944635970594
0.6600000000000003,0.02873930264743176,-0.011621099074907586,10.548618936068275,0.001934036070994516,6.22162457214009,0.0,0.17304000057329255,-0.04156692093496125,1.7186156906670718,0.07488106649622765,-0.1433714630630227,0.0,461.58357874719724,461.82882821132034,460.92991763256447,461.387523091254
0.7200000000000003,0.040600152033064066,-0.014050452058089077,10.657459394304395,0.006519432450293294,6.212907144244468,0.0,0.22330047381542262,-0.03888886032274655,1.909029292927175,0.07934024458068568,-0.1494294458451668,0.0,468.8524661901818,468.3630100289103,467.27155535864046,467.6233142450923
0.7800000000000004,0.05547838556906319,-0.01623190709571864,10.774887759602906,0.011196660365929034,6.203897081561344,0.0,0.27353867460428655,-0.033349603692253975,2.005007822847275,0.075027652884203,-0.1516847529619609,0.0,439.40570471766,439.19720410633704,440.4945589290569,440.14270228119597
0.8400000000000004,0.07372265285299621,-0.01796133756750818,10.9001152593336,0.015666319355268854,6.195111351904648,0.0,0.3355719628975751,-0.02380302451111651,2.16884642615861,0.07340635430589004,-0.13758508242866851,0.0,461.09177657060775,462.1849061646847,461.16402912406306,461.0400761982292
0.9000000000000005,0.09596172783752703,-0.01900267587506747,11.036021283682588,0.020596868159096005,6.186683036408466,0.0,0.4066567481734672,-0.010372007452245507,2.360865499910241,0.09560061843586376,-0.14697276363721345,0.0,470.9443902463923,470.20051282670113,469.8737219658935,471.59599952619624
0.9600000000000005,0.12277562108051307,-0.019093520090331967,11.184551909094088,0.02645417180504328,6.178127469381685,0.0,0.4881366305727323,0.008032132298261356,2.5895242739301967,0.10138239774570028,-0.1350306491866292,0.0,481.7405464768915,482.62535944825504,482.4721771476068,482.9158081512214
1.0200000000000005,0.15458255799912277,-0.017961898712940995,11.345823464037801,0.03249677400434159,6.169622420051024,0.0,0.5729978720481808,0.030376661743639007,2.7855869774288777,0.09933135374751599,-0.16063353886272783,0.0,475.36648806520924,473.3826485822169,474.05305804638573,473.9035007983883
1.0800000000000005,0.19098225770434626,-0.015552580580396602,11.51275255844877,0.03874339112311276,6.1594181097202245,0.0,0.6411604672391316,0.05045736787627475,2.778590358212833,0.11226659537952498,-0.20622484850923514,0.0,413.65967067505915,409.5923574928774,410.0123185479414,411.17025738187476
1.1400000000000006,0.23227293612292646,-0.0116339720503789,11.684086518132782,0.045091010079471694,6.147495366510473,0.0,0.7364692403154828,0.0808631575788798,2.93191789460028,0.08792275644935504,-0.18684053580995247,0.0,461.2659323183303,462.75682393210616,465.01552392989964,463.11366330456957
